station_name,measurement_timestamp,air_temperature,wet_bulb_temperature,humidity,rain_intensity,interval_rain,total_rain,precipitation_type,wind_direction,wind_speed,maximum_wind_speed,barometric_pressure,solar_radiation,heading,battery_life,measurement_timestamp_label,measurement_id
Foster Weather Station,2017-12-31T20:00:00.000,-15,,50,,0,,,314,4.7,5.4,1012.2,0,,14.9,12/31/2017 8:00 PM,FosterWeatherStation201712312000
Oak Street Weather Station,2017-12-31T20:00:00.000,-12.8,-14.1,54,0,0,18.6,0,329,2.4,4.6,1013.6,3,1,11.9,12/31/2017 8:00 PM,OakStreetWeatherStation201712312000
63rd Street Weather Station,2017-12-31T19:00:00.000,-12,-13.3,55,0,0,25.1,0,311,3.5,6.7,1012.2,6,354,11.9,12/31/2017 7:00 PM,63rdStreetWeatherStation201712311900
Foster Weather Station,2017-12-31T19:00:00.000,-14.17,,49,,0,,,318,6,6.4,1012.2,0,,14.9,12/31/2017 7:00 PM,FosterWeatherStation201712311900
Oak Street Weather Station,2017-12-31T19:00:00.000,-12,-13.4,54,0,0,18.6,0,338,3.5,6.4,1013.3,3,2,11.8,12/31/2017 7:00 PM,OakStreetWeatherStation201712311900
63rd Street Weather Station,2017-12-31T18:00:00.000,-11.1,-12.6,52,0,0,25.1,0,313,3.4,7,1011.6,6,354,11.8,12/31/2017 6:00 PM,63rdStreetWeatherStation201712311800
Foster Weather Station,2017-12-31T18:00:00.000,-12.78,,48,,0,,,279,2.1,2.6,1011.5,0,,14.8,12/31/2017 6:00 PM,FosterWeatherStation201712311800
Oak Street Weather Station,2017-12-31T18:00:00.000,-10.8,-12.3,52,0,0,18.6,0,340,3.4,6.2,1012.8,3,1,12.1,12/31/2017 6:00 PM,OakStreetWeatherStation201712311800
63rd Street Weather Station,2017-12-31T17:00:00.000,-10.5,-12.2,50,0,0,25.1,0,311,2.6,4.4,1011.1,6,354,11.9,12/31/2017 5:00 PM,63rdStreetWeatherStation201712311700
Foster Weather Station,2017-12-31T17:00:00.000,-11.89,,43,,0,,,297,3.4,3.9,1010.8,0,,14.8,12/31/2017 5:00 PM,FosterWeatherStation201712311700
Oak Street Weather Station,2017-12-31T17:00:00.000,-10.3,-12,47,0,0,18.6,0,328,1.9,5.2,1012.1,3,2,12,12/31/2017 5:00 PM,OakStreetWeatherStation201712311700
63rd Street Weather Station,2017-12-31T16:00:00.000,-9.9,-11.6,49,0,0,25.1,0,324,3.6,5.5,1010.6,25,354,11.8,12/31/2017 4:00 PM,63rdStreetWeatherStation201712311600
Foster Weather Station,2017-12-31T16:00:00.000,-11.06,,39,,0,,,308,4.2,4.4,1010.5,0,,14.8,12/31/2017 4:00 PM,FosterWeatherStation201712311600
Oak Street Weather Station,2017-12-31T16:00:00.000,-9.5,-11.3,46,0,0,18.6,0,336,2,3.4,1011.6,15,2,12,12/31/2017 4:00 PM,OakStreetWeatherStation201712311600
63rd Street Weather Station,2017-12-31T15:00:00.000,-9.4,-11.2,48,0,0,25.1,0,327,4.4,6.3,1010.2,209,353,11.9,12/31/2017 3:00 PM,63rdStreetWeatherStation201712311500
Foster Weather Station,2017-12-31T15:00:00.000,-10.5,,42,,0,,,352,3.5,4,1009.8,0,,14.8,12/31/2017 3:00 PM,FosterWeatherStation201712311500
Oak Street Weather Station,2017-12-31T15:00:00.000,-9.4,-11.1,50,0,0,18.6,0,3,3,5.1,1011.1,30,2,11.9,12/31/2017 3:00 PM,OakStreetWeatherStation201712311500
63rd Street Weather Station,2017-12-31T14:00:00.000,-9.4,-11.1,49,0,0,25.1,0,336,4.1,8.2,1009.5,326,353,11.9,12/31/2017 2:00 PM,63rdStreetWeatherStation201712311400
Foster Weather Station,2017-12-31T14:00:00.000,-11.28,,44,,0,,,317,5.7,6.3,1009.5,0,,14.8,12/31/2017 2:00 PM,FosterWeatherStation201712311400
Oak Street Weather Station,2017-12-31T14:00:00.000,-9.6,-11.3,50,0,0,18.6,0,348,3,4.7,1010.5,44,2,12,12/31/2017 2:00 PM,OakStreetWeatherStation201712311400
63rd Street Weather Station,2017-12-31T13:00:00.000,-9.8,-11.4,54,0,0,25.1,0,326,4.3,6.8,1009.8,421,354,11.9,12/31/2017 1:00 PM,63rdStreetWeatherStation201712311300
Foster Weather Station,2017-12-31T13:00:00.000,-11.5,,48,,0,,,302,3.3,3.6,1009.5,0,,14.8,12/31/2017 1:00 PM,FosterWeatherStation201712311300
Oak Street Weather Station,2017-12-31T13:00:00.000,-9.4,-11.1,51,0,0,18.6,0,337,2.9,4.4,1010.5,194,2,12,12/31/2017 1:00 PM,OakStreetWeatherStation201712311300
63rd Street Weather Station,2017-12-31T12:00:00.000,-10.6,-12,56,0,0,25.1,0,318,2.9,5.9,1009.9,379,354,11.9,12/31/2017 12:00 PM,63rdStreetWeatherStation201712311200
Foster Weather Station,2017-12-31T12:00:00.000,-12.17,,49,,0,,,309,2.9,3.4,1009.5,0,,14.8,12/31/2017 12:00 PM,FosterWeatherStation201712311200
Oak Street Weather Station,2017-12-31T12:00:00.000,-10.4,-11.9,54,0,0,18.6,0,330,1.7,3.2,1010.9,192,2,12,12/31/2017 12:00 PM,OakStreetWeatherStation201712311200
63rd Street Weather Station,2017-12-31T11:00:00.000,-11.9,-13,62,0,0,25.1,0,276,4.6,7.1,1010.1,211,354,11.8,12/31/2017 11:00 AM,63rdStreetWeatherStation201712311100
Foster Weather Station,2017-12-31T11:00:00.000,-13.5,,53,,0,,,280,2.5,2.8,1009.8,0,,14.9,12/31/2017 11:00 AM,FosterWeatherStation201712311100
Oak Street Weather Station,2017-12-31T11:00:00.000,-11,-12.3,58,0,0,18.6,0,329,1.6,2.7,1011.1,136,2,11.8,12/31/2017 11:00 AM,OakStreetWeatherStation201712311100
63rd Street Weather Station,2017-12-31T10:00:00.000,-13.1,-14.1,65,0,0,25.1,0,282,2.8,4.8,1010.1,347,354,11.9,12/31/2017 10:00 AM,63rdStreetWeatherStation201712311000
Foster Weather Station,2017-12-31T10:00:00.000,-14.06,,57,,0,,,252,1,1.3,1009.5,0,,14.9,12/31/2017 10:00 AM,FosterWeatherStation201712311000
Oak Street Weather Station,2017-12-31T10:00:00.000,-12.3,-13.4,62,0,0,18.6,0,290,1.3,2.7,1010.8,221,2,12.1,12/31/2017 10:00 AM,OakStreetWeatherStation201712311000
63rd Street Weather Station,2017-12-31T09:00:00.000,-14.2,-15,65,0,0,25.1,0,273,3,6,1009.2,174,354,11.8,12/31/2017 9:00 AM,63rdStreetWeatherStation201712310900
Foster Weather Station,2017-12-31T09:00:00.000,-15.39,,61,,0,,,282,3.3,3.7,1009.1,0,,15.2,12/31/2017 9:00 AM,FosterWeatherStation201712310900
Oak Street Weather Station,2017-12-31T09:00:00.000,-13.7,-14.6,65,0,0,18.6,0,330,2.4,4.4,1010.3,44,1,12.1,12/31/2017 9:00 AM,OakStreetWeatherStation201712310900
63rd Street Weather Station,2017-12-31T08:00:00.000,-15.1,-15.9,67,0,0,25.1,0,283,2.3,3.9,1008.7,42,353,11.9,12/31/2017 8:00 AM,63rdStreetWeatherStation201712310800
Foster Weather Station,2017-12-31T08:00:00.000,-16.56,,62,,0,,,273,3.3,3.7,1008.5,0,,14.9,12/31/2017 8:00 AM,FosterWeatherStation201712310800
Oak Street Weather Station,2017-12-31T08:00:00.000,-14.2,-15.1,64,0,0,18.6,0,309,1.2,3.6,1009.8,30,1,12,12/31/2017 8:00 AM,OakStreetWeatherStation201712310800
63rd Street Weather Station,2017-12-31T07:00:00.000,-15.1,-15.9,66,0,0,25.1,0,299,2.4,4.2,1008.2,7,354,11.8,12/31/2017 7:00 AM,63rdStreetWeatherStation201712310700
Foster Weather Station,2017-12-31T07:00:00.000,-16.78,,60,,0,,,280,2.1,2.2,1008.5,0,,14.9,12/31/2017 7:00 AM,FosterWeatherStation201712310700
Oak Street Weather Station,2017-12-31T07:00:00.000,-14.5,-15.4,63,0,0,18.6,0,308,1.9,3.2,1009.7,4,1,12,12/31/2017 7:00 AM,OakStreetWeatherStation201712310700
63rd Street Weather Station,2017-12-31T06:00:00.000,-15.5,-16.3,65,0,0,25.1,0,311,1.7,3.8,1007.9,7,353,11.9,12/31/2017 6:00 AM,63rdStreetWeatherStation201712310600
Foster Weather Station,2017-12-31T06:00:00.000,-16.67,,58,,0,,,306,2.6,3,1008.1,0,,14.9,12/31/2017 6:00 AM,FosterWeatherStation201712310600
Oak Street Weather Station,2017-12-31T06:00:00.000,-14.6,-15.5,62,0,0,18.6,0,320,1.5,3.2,1009.2,3,1,12,12/31/2017 6:00 AM,OakStreetWeatherStation201712310600
63rd Street Weather Station,2017-12-31T05:00:00.000,-15.6,-16.4,66,0,0,25.1,0,290,3,5.5,1008.1,7,354,11.8,12/31/2017 5:00 AM,63rdStreetWeatherStation201712310500
Foster Weather Station,2017-12-31T05:00:00.000,-16.78,,57,,0,,,297,3.2,4.2,1008.5,0,,14.9,12/31/2017 5:00 AM,FosterWeatherStation201712310500
Oak Street Weather Station,2017-12-31T05:00:00.000,-14.8,-15.7,62,0,0,18.6,0,340,1.9,4.9,1009.5,4,1,12.1,12/31/2017 5:00 AM,OakStreetWeatherStation201712310500
63rd Street Weather Station,2017-12-31T04:00:00.000,-15.5,-16.4,64,0,0,25.1,0,289,2.8,5.4,1008.7,7,354,11.8,12/31/2017 4:00 AM,63rdStreetWeatherStation201712310400
Foster Weather Station,2017-12-31T04:00:00.000,-16.89,,57,,0,,,259,3.8,4.1,1008.5,0,,14.9,12/31/2017 4:00 AM,FosterWeatherStation201712310400
Oak Street Weather Station,2017-12-31T04:00:00.000,-14.7,-15.6,61,0,0,18.6,0,270,1.4,4.6,1009.7,3,1,11.9,12/31/2017 4:00 AM,OakStreetWeatherStation201712310400
63rd Street Weather Station,2017-12-31T03:00:00.000,-15.4,-16.3,64,0,0,25.1,0,279,3.5,5.2,1007.6,7,354,11.9,12/31/2017 3:00 AM,63rdStreetWeatherStation201712310300
Foster Weather Station,2017-12-31T03:00:00.000,-17.06,,56,,0,,,278,2.4,2.6,1007.8,0,,15.2,12/31/2017 3:00 AM,FosterWeatherStation201712310300
Oak Street Weather Station,2017-12-31T03:00:00.000,-15,-16,61,0,0,18.6,0,262,1.5,3.1,1009,3,1,12,12/31/2017 3:00 AM,OakStreetWeatherStation201712310300
63rd Street Weather Station,2017-12-31T02:00:00.000,-15.5,-16.4,63,0,0,25.1,0,301,1.4,2.5,1007.5,7,354,11.9,12/31/2017 2:00 AM,63rdStreetWeatherStation201712310200
Foster Weather Station,2017-12-31T02:00:00.000,-17.17,,56,,0,,,318,2.4,3,1007.5,0,,14.9,12/31/2017 2:00 AM,FosterWeatherStation201712310200
Oak Street Weather Station,2017-12-31T02:00:00.000,-15.1,-16,60,0,0,18.6,0,321,1.9,4,1008.6,4,1,12.1,12/31/2017 2:00 AM,OakStreetWeatherStation201712310200
63rd Street Weather Station,2017-12-30T23:00:00.000,-16.1,-17,58,0,0,25.1,0,298,3,5,1007.2,7,354,11.8,12/30/2017 11:00 PM,63rdStreetWeatherStation201712302300
Foster Weather Station,2017-12-30T23:00:00.000,-17.89,,53,,0,,,282,3.2,3.8,1007.8,0,,14.9,12/30/2017 11:00 PM,FosterWeatherStation201712302300
Oak Street Weather Station,2017-12-30T23:00:00.000,-15.6,-16.6,57,0,0,18.6,0,329,2.6,4.3,1008.6,4,1,11.9,12/30/2017 11:00 PM,OakStreetWeatherStation201712302300
63rd Street Weather Station,2017-12-30T22:00:00.000,-15.8,-16.8,57,0,0,25.1,0,327,3.7,5.3,1006.9,7,354,11.9,12/30/2017 10:00 PM,63rdStreetWeatherStation201712302200
Foster Weather Station,2017-12-30T22:00:00.000,-17.67,,52,,0,,,279,3.1,3.3,1006.8,0,,14.9,12/30/2017 10:00 PM,FosterWeatherStation201712302200
Oak Street Weather Station,2017-12-30T22:00:00.000,-15.4,-16.5,56,0,0,18.6,0,325,2.8,4.5,1008.1,4,1,12,12/30/2017 10:00 PM,OakStreetWeatherStation201712302200
63rd Street Weather Station,2017-12-30T21:00:00.000,-15.7,-16.7,56,0,0,25.1,0,330,3.6,4.3,1006.8,7,354,11.8,12/30/2017 9:00 PM,63rdStreetWeatherStation201712302100
Foster Weather Station,2017-12-30T21:00:00.000,-17.28,,51,,0,,,283,3,3.4,1006.8,0,,14.9,12/30/2017 9:00 PM,FosterWeatherStation201712302100
Oak Street Weather Station,2017-12-30T21:00:00.000,-15.2,-16.3,55,0,0,18.6,0,338,3,4.7,1008,4,1,11.9,12/30/2017 9:00 PM,OakStreetWeatherStation201712302100
63rd Street Weather Station,2017-12-30T20:00:00.000,-15.4,-16.4,56,0,0,25.1,0,305,3.5,7,1006.5,7,354,11.9,12/30/2017 8:00 PM,63rdStreetWeatherStation201712302000
Foster Weather Station,2017-12-30T20:00:00.000,-17.06,,51,,0,,,273,2.5,2.8,1006.8,0,,14.9,12/30/2017 8:00 PM,FosterWeatherStation201712302000
Oak Street Weather Station,2017-12-30T20:00:00.000,-15,-16.1,54,0,0,18.6,0,338,2.2,3.4,1008,4,1,12,12/30/2017 8:00 PM,OakStreetWeatherStation201712302000
63rd Street Weather Station,2017-12-30T19:00:00.000,-15.3,-16.3,56,0,0,25.1,0,324,3,5.9,1006.5,7,354,11.9,12/30/2017 7:00 PM,63rdStreetWeatherStation201712301900
Foster Weather Station,2017-12-30T19:00:00.000,-17,,50,,0,,,313,5.4,5.9,1006.4,0,,14.9,12/30/2017 7:00 PM,FosterWeatherStation201712301900
Oak Street Weather Station,2017-12-30T19:00:00.000,-14.8,-16,53,0,0,18.6,0,289,1.3,2.4,1008,4,2,11.9,12/30/2017 7:00 PM,OakStreetWeatherStation201712301900
63rd Street Weather Station,2017-12-30T18:00:00.000,-15.1,-16.2,54,0,0,25.1,0,301,3,5.3,1005.8,7,354,11.8,12/30/2017 6:00 PM,63rdStreetWeatherStation201712301800
Foster Weather Station,2017-12-30T18:00:00.000,-16.5,,48,,0,,,301,4,4.5,1005.8,0,,14.9,12/30/2017 6:00 PM,FosterWeatherStation201712301800
Oak Street Weather Station,2017-12-30T18:00:00.000,-14.6,-15.7,53,0,0,18.6,0,336,3.1,5.3,1007.1,4,1,12,12/30/2017 6:00 PM,OakStreetWeatherStation201712301800
63rd Street Weather Station,2017-12-30T17:00:00.000,-14.9,-16,54,0,0,25.1,0,291,2.9,5.3,1004.9,7,354,11.8,12/30/2017 5:00 PM,63rdStreetWeatherStation201712301700
Foster Weather Station,2017-12-30T17:00:00.000,-16,,47,,0,,,283,3.6,4,1004.7,0,,14.9,12/30/2017 5:00 PM,FosterWeatherStation201712301700
Oak Street Weather Station,2017-12-30T17:00:00.000,-13.9,-15.1,53,0,0,18.6,0,340,2.8,4.8,1006,3,1,12,12/30/2017 5:00 PM,OakStreetWeatherStation201712301700
63rd Street Weather Station,2017-12-30T16:00:00.000,-14.5,-15.7,51,0,0,25.1,0,302,4.1,6.9,1004.2,28,354,11.9,12/30/2017 4:00 PM,63rdStreetWeatherStation201712301600
Foster Weather Station,2017-12-30T16:00:00.000,-15.56,,45,,0,,,259,2.5,3.3,1004.1,0,,14.9,12/30/2017 4:00 PM,FosterWeatherStation201712301600
Oak Street Weather Station,2017-12-30T16:00:00.000,-13.8,-15.1,52,0,0,18.6,0,330,1.6,4,1005.2,14,2,12,12/30/2017 4:00 PM,OakStreetWeatherStation201712301600
63rd Street Weather Station,2017-12-30T15:00:00.000,-13.5,-14.8,50,0,0,25.1,0,298,3.6,5.3,1003.7,211,353,11.9,12/30/2017 3:00 PM,63rdStreetWeatherStation201712301500
Foster Weather Station,2017-12-30T15:00:00.000,-15.28,,45,,0,,,271,4.4,5.3,1003.4,0,,14.9,12/30/2017 3:00 PM,FosterWeatherStation201712301500
Oak Street Weather Station,2017-12-30T15:00:00.000,-13.6,-15,50,0,0,18.6,0,291,1.6,5.1,1004.4,23,1,12,12/30/2017 3:00 PM,OakStreetWeatherStation201712301500
63rd Street Weather Station,2017-12-30T14:00:00.000,-14,-15.3,51,0,0,25.1,0,285,5.1,8.8,1003,336,353,11.8,12/30/2017 2:00 PM,63rdStreetWeatherStation201712301400
Foster Weather Station,2017-12-30T14:00:00.000,-15.06,,43,,0,,,302,4.1,4.7,1002.7,0,,14.9,12/30/2017 2:00 PM,FosterWeatherStation201712301400
Oak Street Weather Station,2017-12-30T14:00:00.000,-13.2,-14.6,49,0,0,18.6,0,343,3.9,5.5,1004,28,2,12,12/30/2017 2:00 PM,OakStreetWeatherStation201712301400
63rd Street Weather Station,2017-12-30T13:00:00.000,-13.9,-15.2,50,0,0,25.1,0,320,3.4,5.8,1002.9,225,354,11.9,12/30/2017 1:00 PM,63rdStreetWeatherStation201712301300
Foster Weather Station,2017-12-30T13:00:00.000,-14.78,,44,,0,,,327,3.2,3.5,1002.7,0,,14.9,12/30/2017 1:00 PM,FosterWeatherStation201712301300
Oak Street Weather Station,2017-12-30T13:00:00.000,-13.2,-14.6,51,0,0,18.6,0,339,3.3,5.3,1003.8,60,2,12,12/30/2017 1:00 PM,OakStreetWeatherStation201712301300
63rd Street Weather Station,2017-12-30T12:00:00.000,-13.9,-15.2,52,0,0,25.1,0,300,3.2,5.7,1003,220,354,11.9,12/30/2017 12:00 PM,63rdStreetWeatherStation201712301200
Foster Weather Station,2017-12-30T12:00:00.000,-15.39,,42,,0,,,311,3.2,3.5,1003,0,,15.2,12/30/2017 12:00 PM,FosterWeatherStation201712301200
Oak Street Weather Station,2017-12-30T12:00:00.000,-13.5,-14.8,50,0,0,18.6,0,330,2.7,6.4,1004.1,36,2,12,12/30/2017 12:00 PM,OakStreetWeatherStation201712301200
63rd Street Weather Station,2017-12-30T11:00:00.000,-14.1,-15.3,50,0,0,25.1,0,306,4.5,9,1003.2,375,354,11.9,12/30/2017 11:00 AM,63rdStreetWeatherStation201712301100
Foster Weather Station,2017-12-30T11:00:00.000,-15.56,,43,,0,,,308,4.8,5.5,1003,0,,15.2,12/30/2017 11:00 AM,FosterWeatherStation201712301100
Oak Street Weather Station,2017-12-30T11:00:00.000,-13.7,-15,49,0,0,18.6,0,339,2,4.1,1004.2,373,1,11.9,12/30/2017 11:00 AM,OakStreetWeatherStation201712301100
63rd Street Weather Station,2017-12-30T10:00:00.000,-14.2,-15.3,54,0,0,25.1,0,320,3.6,7.1,1003.4,350,354,11.9,12/30/2017 10:00 AM,63rdStreetWeatherStation201712301000
Foster Weather Station,2017-12-30T10:00:00.000,-16.06,,45,,0,,,306,6.7,7.9,1003,0,,15.2,12/30/2017 10:00 AM,FosterWeatherStation201712301000
Oak Street Weather Station,2017-12-30T10:00:00.000,-13.8,-15.1,52,0,0,18.6,0,336,3,5.8,1004.4,304,1,12.1,12/30/2017 10:00 AM,OakStreetWeatherStation201712301000
63rd Street Weather Station,2017-12-30T09:00:00.000,-14.3,-15.5,54,0,0,25.1,0,333,4.4,7.3,1003,184,354,11.9,12/30/2017 9:00 AM,63rdStreetWeatherStation201712300900
Foster Weather Station,2017-12-30T09:00:00.000,-16.06,,50,,0,,,290,4.4,4.8,1002.7,0,,14.9,12/30/2017 9:00 AM,FosterWeatherStation201712300900
Oak Street Weather Station,2017-12-30T09:00:00.000,-14.3,-15.5,54,0,0,18.6,0,335,4.1,6.6,1004.1,34,1,11.9,12/30/2017 9:00 AM,OakStreetWeatherStation201712300900
63rd Street Weather Station,2017-12-30T08:00:00.000,-13.7,-14.7,61,0,0,25.1,0,331,5.6,9.3,1001.9,30,354,11.8,12/30/2017 8:00 AM,63rdStreetWeatherStation201712300800
Foster Weather Station,2017-12-30T08:00:00.000,-15.56,,55,,0,,,282,4.7,5.3,1002,0,,14.9,12/30/2017 8:00 AM,FosterWeatherStation201712300800
Oak Street Weather Station,2017-12-30T08:00:00.000,-13.2,-14.4,59,0,0,18.6,0,337,3.2,7.6,1003.2,26,1,11.9,12/30/2017 8:00 AM,OakStreetWeatherStation201712300800
63rd Street Weather Station,2017-12-30T07:00:00.000,-12.6,-13.6,63,0,0,25.1,0,322,3.7,7.5,1001.3,7,354,11.8,12/30/2017 7:00 AM,63rdStreetWeatherStation201712300700
Foster Weather Station,2017-12-30T07:00:00.000,-14.5,,59,,0,,,283,3.6,3.8,1001.4,0,,14.8,12/30/2017 7:00 AM,FosterWeatherStation201712300700
Oak Street Weather Station,2017-12-30T07:00:00.000,-12.3,-13.3,63,0,0,18.6,0,339,3.7,5.2,1002.3,3,1,12,12/30/2017 7:00 AM,OakStreetWeatherStation201712300700
63rd Street Weather Station,2017-12-30T06:00:00.000,-11.5,-12.5,67,0,0,25.1,0,307,3.9,6.8,1000.3,6,354,11.9,12/30/2017 6:00 AM,63rdStreetWeatherStation201712300600
Foster Weather Station,2017-12-30T06:00:00.000,-13.28,,58,,0,,,300,3.4,3.6,1000.3,0,,14.9,12/30/2017 6:00 AM,FosterWeatherStation201712300600
Oak Street Weather Station,2017-12-30T06:00:00.000,-11.5,-12.6,64,0,0,18.6,0,347,2.9,5.9,1001.4,3,1,12,12/30/2017 6:00 AM,OakStreetWeatherStation201712300600
63rd Street Weather Station,2017-12-30T05:00:00.000,-10.4,-11.5,68,0,0,25.1,0,303,3,7.8,999.6,6,354,11.7,12/30/2017 5:00 AM,63rdStreetWeatherStation201712300500
Foster Weather Station,2017-12-30T05:00:00.000,-12.17,,61,,0,,,292,2.6,3.2,999,0,,15.2,12/30/2017 5:00 AM,FosterWeatherStation201712300500
Oak Street Weather Station,2017-12-30T05:00:00.000,-10.3,-11.4,68,0,0,18.6,0,345,1.7,2.9,1000.1,3,1,12,12/30/2017 5:00 AM,OakStreetWeatherStation201712300500
63rd Street Weather Station,2017-12-30T04:00:00.000,-9.6,-10.5,73,0,0,25.1,0,289,2.4,5.4,999.2,6,354,11.9,12/30/2017 4:00 AM,63rdStreetWeatherStation201712300400
Foster Weather Station,2017-12-30T04:00:00.000,-11,,63,,0,,,284,3.3,3.8,999,0,,15.2,12/30/2017 4:00 AM,FosterWeatherStation201712300400
Oak Street Weather Station,2017-12-30T04:00:00.000,-9.4,-10.5,69,0,0,18.6,0,321,2.1,5.1,1000.1,3,2,11.9,12/30/2017 4:00 AM,OakStreetWeatherStation201712300400
63rd Street Weather Station,2017-12-30T03:00:00.000,-9.3,-10.3,74,0,0,25.1,0,316,2.2,4.6,999.3,6,354,11.9,12/30/2017 3:00 AM,63rdStreetWeatherStation201712300300
Foster Weather Station,2017-12-30T03:00:00.000,-10.56,,64,,0,,,298,4.8,5.7,998.6,0,,14.9,12/30/2017 3:00 AM,FosterWeatherStation201712300300
Oak Street Weather Station,2017-12-30T03:00:00.000,-8.9,-10,69,0,0,18.6,0,337,2.7,4.8,1000,3,2,12,12/30/2017 3:00 AM,OakStreetWeatherStation201712300300
63rd Street Weather Station,2017-12-30T02:00:00.000,-8.9,-9.8,75,0,0,25.1,0,322,3.3,6,999,6,354,11.9,12/30/2017 2:00 AM,63rdStreetWeatherStation201712300200
Foster Weather Station,2017-12-30T02:00:00.000,-10.17,,66,,0,,,279,3,3.7,998.6,0,,15.2,12/30/2017 2:00 AM,FosterWeatherStation201712300200
Oak Street Weather Station,2017-12-30T02:00:00.000,-8.7,-9.7,72,0,0,18.6,0,330,1.6,3.7,999.8,3,2,12.1,12/30/2017 2:00 AM,OakStreetWeatherStation201712300200
63rd Street Weather Station,2017-12-30T01:00:00.000,-8.9,-9.7,78,0,0,25.1,0,282,3.5,5.1,998.8,5,354,11.9,12/30/2017 1:00 AM,63rdStreetWeatherStation201712300100
Foster Weather Station,2017-12-30T01:00:00.000,-9.78,,68,,0,,,294,3.3,3.7,998.3,0,,15.2,12/30/2017 1:00 AM,FosterWeatherStation201712300100
Oak Street Weather Station,2017-12-30T01:00:00.000,-8.1,-9.1,73,0,0,18.6,0,339,2,3.7,999.6,3,2,12.1,12/30/2017 1:00 AM,OakStreetWeatherStation201712300100
63rd Street Weather Station,2017-12-30T00:00:00.000,-9.1,-9.8,79,0,0,25.1,70,286,1.6,2.4,999,5,354,11.8,12/30/2017 12:00 AM,63rdStreetWeatherStation201712302400
Foster Weather Station,2017-12-30T00:00:00.000,-9.5,,68,,0,,,284,2.1,2.4,998.6,0,,15.2,12/30/2017 12:00 AM,FosterWeatherStation201712302400
Oak Street Weather Station,2017-12-30T00:00:00.000,-8.1,-9.2,72,0,0,18.6,0,0,0.4,2.1,999.8,3,2,12.1,12/30/2017 12:00 AM,OakStreetWeatherStation201712302400
63rd Street Weather Station,2017-12-29T23:00:00.000,-8.9,-9.6,78,0,0,25.1,0,275,3.6,5.4,999.8,6,354,11.9,12/29/2017 11:00 PM,63rdStreetWeatherStation201712292300
Foster Weather Station,2017-12-29T23:00:00.000,-9.56,,69,,0,,,256,4,4.2,999.3,0,,15.2,12/29/2017 11:00 PM,FosterWeatherStation201712292300
Oak Street Weather Station,2017-12-29T23:00:00.000,-8.2,-9.2,74,0,0,18.6,0,346,1.1,2.5,1000.5,2,2,12.1,12/29/2017 11:00 PM,OakStreetWeatherStation201712292300
63rd Street Weather Station,2017-12-29T22:00:00.000,-8.9,-9.6,80,0,0,25.1,70,278,2.8,4.7,1000.3,6,354,11.8,12/29/2017 10:00 PM,63rdStreetWeatherStation201712292200
Foster Weather Station,2017-12-29T22:00:00.000,-9.56,,69,,0,,,287,3.4,4.1,999.7,0,,14.8,12/29/2017 10:00 PM,FosterWeatherStation201712292200
Oak Street Weather Station,2017-12-29T22:00:00.000,-8.2,-9.2,74,0,0.1,18.6,70,328,1.5,2.7,1001,3,2,12,12/29/2017 10:00 PM,OakStreetWeatherStation201712292200
